cycle,state,modeldate,candidate_name,pct_estimate
1980,Georgia,1980-11-04,Ronald Reagan,36.322247
1980,Hawaii,1980-11-04,Jimmy Carter,36.287027
1980,Hawaii,1980-11-04,John B. Anderson,12.119444
1980,Hawaii,1980-11-04,Ronald Reagan,31.026256
1980,Idaho,1980-11-04,Jimmy Carter,23.957977
1980,Idaho,1980-11-04,John B. Anderson,6.0308398
1980,Idaho,1980-11-04,Ronald Reagan,50.961666
1980,Illinois,1980-11-04,Jimmy Carter,40.353598
1980,Illinois,1980-11-04,John B. Anderson,10.428092
1980,Illinois,1980-11-04,Ronald Reagan,43.768107
1980,Iowa,1980-11-04,Jimmy Carter,33.458937
1980,Iowa,1980-11-04,John B. Anderson,13.818613
1980,Iowa,1980-11-04,Ronald Reagan,44.35356
1980,Kansas,1980-11-04,Jimmy Carter,26.411143
1980,Kansas,1980-11-04,John B. Anderson,8.1438399
1980,Kansas,1980-11-04,Ronald Reagan,48.832027
1980,Louisiana,1980-11-04,Jimmy Carter,36.86978
1980,Louisiana,1980-11-04,John B. Anderson,4.1411469
1980,Louisiana,1980-11-04,Ronald Reagan,49.013447
1980,Maine,1980-11-04,Jimmy Carter,35.645349
1980,Maine,1980-11-04,John B. Anderson,12.862642
1980,Maine,1980-11-04,Ronald Reagan,29.75094
1980,Maryland,1980-11-04,Jimmy Carter,41.137857
1980,Maryland,1980-11-04,John B. Anderson,9.1664807
1980,Maryland,1980-11-04,Ronald Reagan,30.980469
1980,Massachusetts,1980-11-04,Jimmy Carter,31.14032
1980,Massachusetts,1980-11-04,John B. Anderson,19.526497
1980,Massachusetts,1980-11-04,Ronald Reagan,30.613445
1980,Michigan,1980-11-04,Jimmy Carter,28.741635
1980,Michigan,1980-11-04,John B. Anderson,11.752165
1980,Michigan,1980-11-04,Ronald Reagan,38.180708
1980,Minnesota,1980-11-04,Jimmy Carter,31.597255
1980,Minnesota,1980-11-04,John B. Anderson,18.972968
1980,Minnesota,1980-11-04,Ronald Reagan,31.707947
1980,Mississippi,1980-11-04,Jimmy Carter,35.870002
1980,Mississippi,1980-11-04,John B. Anderson,3.0375648
1980,Mississippi,1980-11-04,Ronald Reagan,51.113478
1980,Missouri,1980-11-04,Jimmy Carter,37.222867
1980,Missouri,1980-11-04,John B. Anderson,11.317634
1980,Missouri,1980-11-04,Ronald Reagan,40.180024
1980,National,1980-11-04,Jimmy Carter,41.83639
1980,National,1980-11-04,John B. Anderson,7.6771216
1980,National,1980-11-04,Ronald Reagan,44.089588
1980,Nebraska,1980-11-04,Jimmy Carter,22.783342
1980,Nebraska,1980-11-04,Ronald Reagan,55.177087
1980,Nevada,1980-11-04,Jimmy Carter,22.783342
1980,Nevada,1980-11-04,John B. Anderson,11.676912
1980,Nevada,1980-11-04,Ronald Reagan,43.166828
1980,New Hampshire,1980-11-04,Jimmy Carter,28.762486
1980,New Hampshire,1980-11-04,Ronald Reagan,43.166828
1980,New Jersey,1980-11-04,Jimmy Carter,33.844507
1980,New Jersey,1980-11-04,John B. Anderson,10.32598
1980,New Jersey,1980-11-04,Ronald Reagan,38.923002
1980,New York,1980-11-04,Jimmy Carter,35.753233
1980,New York,1980-11-04,John B. Anderson,12.559089
1980,New York,1980-11-04,Ronald Reagan,31.696163
1980,North Carolina,1980-11-04,Jimmy Carter,46.157558
1980,North Carolina,1980-11-04,John B. Anderson,3.7107758
1980,North Carolina,1980-11-04,Ronald Reagan,39.144633
1980,North Dakota,1980-11-04,Jimmy Carter,23.779461
1980,North Dakota,1980-11-04,John B. Anderson,12.664977
1980,North Dakota,1980-11-04,Ronald Reagan,49.182837
1980,Ohio,1980-11-04,Jimmy Carter,34.906983
1980,Ohio,1980-11-04,John B. Anderson,10.569149
1980,Ohio,1980-11-04,Ronald Reagan,42.38897
1980,Oklahoma,1980-11-04,Jimmy Carter,38.739904
1980,Oklahoma,1980-11-04,John B. Anderson,8.715469
1980,Oklahoma,1980-11-04,Ronald Reagan,53.181412
1980,Oregon,1980-11-04,Jimmy Carter,35.199058
1980,Oregon,1980-11-04,John B. Anderson,14.369421
1980,Oregon,1980-11-04,Ronald Reagan,41.788269
1980,Pennsylvania,1980-11-04,Jimmy Carter,33.33068
