cycle,state,modeldate,candidate_name,pct_estimate,candidate_name_normalized
1976,South Carolina,1976-11-02,Jimmy Carter,48.704338,JIMMY CARTER
1976,South Dakota,1976-11-02,Gerald R. Ford,41.934678,GERALD FORD
1976,South Dakota,1976-11-02,Jimmy Carter,43.200283,JIMMY CARTER
1976,Utah,1976-11-02,Gerald R. Ford,55.407616,GERALD FORD
1976,Utah,1976-11-02,Jimmy Carter,34.506819,JIMMY CARTER
1976,Washington,1976-11-02,Gerald R. Ford,31.733736,GERALD FORD
1976,Washington,1976-11-02,Jimmy Carter,33.270395,JIMMY CARTER
1980,Alabama,1980-11-04,Jimmy Carter,40.321613,JIMMY CARTER
1980,Alabama,1980-11-04,John B. Anderson,3.2009363,JOHN ANDERSON
1980,Alabama,1980-11-04,Ronald Reagan,44.868922,RONALD REAGAN
1980,Arizona,1980-11-04,Jimmy Carter,21.787392,JIMMY CARTER
1980,Arizona,1980-11-04,Ronald Reagan,45.174599,RONALD REAGAN
1980,Arkansas,1980-11-04,Jimmy Carter,43.983228,JIMMY CARTER
1980,Arkansas,1980-11-04,John B. Anderson,5.7586027,JOHN ANDERSON
1980,Arkansas,1980-11-04,Ronald Reagan,40.324904,RONALD REAGAN
1980,California,1980-11-04,Jimmy Carter,28.010388,JIMMY CARTER
1980,California,1980-11-04,John B. Anderson,17.682481,JOHN ANDERSON
1980,California,1980-11-04,Ronald Reagan,42.075506,RONALD REAGAN
1980,Colorado,1980-11-04,Jimmy Carter,24.913525,JIMMY CARTER
1980,Colorado,1980-11-04,John B. Anderson,12.005552,JOHN ANDERSON
1980,Colorado,1980-11-04,Ronald Reagan,49.955457,RONALD REAGAN
1980,Connecticut,1980-11-04,Jimmy Carter,32.831153,JIMMY CARTER
1980,Connecticut,1980-11-04,John B. Anderson,18.712681,JOHN ANDERSON
1980,Connecticut,1980-11-04,Ronald Reagan,36.367083,RONALD REAGAN
1980,Delaware,1980-11-04,Jimmy Carter,36.74326,JIMMY CARTER
1980,Delaware,1980-11-04,Ronald Reagan,43.166828,RONALD REAGAN
1980,Florida,1980-11-04,Jimmy Carter,36.81831,JIMMY CARTER
1980,Florida,1980-11-04,John B. Anderson,7.2293945,JOHN ANDERSON
1980,Florida,1980-11-04,Ronald Reagan,44.497703,RONALD REAGAN
1980,Georgia,1980-11-04,Jimmy Carter,48.568402,JIMMY CARTER
1980,Georgia,1980-11-04,John B. Anderson,5.1442628,JOHN ANDERSON
1980,Georgia,1980-11-04,Ronald Reagan,36.322247,RONALD REAGAN
1980,Hawaii,1980-11-04,Jimmy Carter,36.287027,JIMMY CARTER
1980,Hawaii,1980-11-04,John B. Anderson,12.119444,JOHN ANDERSON
1980,Hawaii,1980-11-04,Ronald Reagan,31.026256,RONALD REAGAN
1980,Idaho,1980-11-04,Jimmy Carter,23.957977,JIMMY CARTER
1980,Idaho,1980-11-04,John B. Anderson,6.0308398,JOHN ANDERSON
1980,Idaho,1980-11-04,Ronald Reagan,50.961666,RONALD REAGAN
1980,Illinois,1980-11-04,Jimmy Carter,40.353598,JIMMY CARTER
1980,Illinois,1980-11-04,John B. Anderson,10.428092,JOHN ANDERSON
1980,Illinois,1980-11-04,Ronald Reagan,43.768107,RONALD REAGAN
1980,Iowa,1980-11-04,Jimmy Carter,33.458937,JIMMY CARTER
1980,Iowa,1980-11-04,John B. Anderson,13.818613,JOHN ANDERSON
1980,Iowa,1980-11-04,Ronald Reagan,44.35356,RONALD REAGAN
1980,Kansas,1980-11-04,Jimmy Carter,26.411143,JIMMY CARTER
1980,Kansas,1980-11-04,John B. Anderson,8.1438399,JOHN ANDERSON
1980,Kansas,1980-11-04,Ronald Reagan,48.832027,RONALD REAGAN
1980,Louisiana,1980-11-04,Jimmy Carter,36.86978,JIMMY CARTER
1980,Louisiana,1980-11-04,John B. Anderson,4.1411469,JOHN ANDERSON
1980,Louisiana,1980-11-04,Ronald Reagan,49.013447,RONALD REAGAN
1980,Maine,1980-11-04,Jimmy Carter,35.645349,JIMMY CARTER
1980,Maine,1980-11-04,John B. Anderson,12.862642,JOHN ANDERSON
1980,Maine,1980-11-04,Ronald Reagan,29.75094,RONALD REAGAN
1980,Maryland,1980-11-04,Jimmy Carter,41.137857,JIMMY CARTER
1980,Maryland,1980-11-04,John B. Anderson,9.1664807,JOHN ANDERSON
1980,Maryland,1980-11-04,Ronald Reagan,30.980469,RONALD REAGAN
1980,Massachusetts,1980-11-04,Jimmy Carter,31.14032,JIMMY CARTER
1980,Massachusetts,1980-11-04,John B. Anderson,19.526497,JOHN ANDERSON
1980,Massachusetts,1980-11-04,Ronald Reagan,30.613445,RONALD REAGAN
1980,Michigan,1980-11-04,Jimmy Carter,28.741635,JIMMY CARTER
1980,Michigan,1980-11-04,John B. Anderson,11.752165,JOHN ANDERSON
1980,Michigan,1980-11-04,Ronald Reagan,38.180708,RONALD REAGAN
1980,Minnesota,1980-11-04,Jimmy Carter,31.597255,JIMMY CARTER
1980,Minnesota,1980-11-04,John B. Anderson,18.972968,JOHN ANDERSON
